airline,true_sentiment,predicted,clean_text
American,positive,positive,<USER> thanks
American,positive,positive,<USER> This is exactly why ill be flying AA from <USER> to Dallas! Only airline I trust!
American,positive,positive,<USER> got another flight. Thanks you
American,neutral,neutral,"<USER> my flight got Cancelled Flightled from GRK to DFW, then to LEX for tomorrow and I need it rebooked."
American,neutral,neutral,.<USER> just disappointed with the Flight Booking Problems process and add’l fees to sit together on a more crowded flight. Not impressed so far :-/.
American,neutral,neutral,<USER> I did
American,negative,negative,<USER> why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless
American,negative,positive,<USER> thanks for getting back to me. But I will find other airlines in the future.
American,negative,negative,<USER> why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?
Delta,positive,positive,<USER> wouldn't mind paying for the snacks but no $ for tix :-) Great job guys!
Delta,positive,positive,<USER> sounds great! Thank you!! :)
Delta,positive,positive,<USER> Was nice to see your Veterans Advantage Program at the gate on Sunday @ <URL> up the good work at JetBlue
Delta,neutral,negative,<USER> I hope so because I fly very often and would hate to change airlines.
Delta,neutral,negative,"<USER> Submitted, hoping for quick decision, tied to another donation we just received: Proposal- 27th Annual Gala Org- Boundless Readers"
Delta,neutral,neutral,"<USER> flying w/ infant for the 1st time, can I bring a canister of powder formula for a carry on and/or use my plastic formula divider?"
Delta,negative,negative,"<USER> They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!"
Delta,negative,negative,"<USER> can't book a flight because of outdated, forced opt-in ""Verified by Visa"" nonsense. Help a girl out? I just want to get to <USER>"
Delta,negative,negative,<USER> Is there an issue with your website and logging on? (App too?) I know I am entering info correctly but cannot sign in! :(
Southwest,positive,positive,<USER> thank you so much completely made things right!
Southwest,positive,positive,<USER> thanks Southwest for saving our trip. my sweetheart isn't going to miss seeing #AltonBrownLive thanks to y'all! #SOhappy
Southwest,positive,negative,<USER> I managed to get sorted out over the phone. Good luck dealing with the snow in Texas!
Southwest,neutral,negative,<USER> I have been on hold for over 28 minutes please help <URL>
Southwest,neutral,neutral,<USER> can y'all develop Ding for a chrome/Firefox browser extension? That would be swell
Southwest,neutral,neutral,<USER> Do you promise to not unfollow me? 😉
Southwest,negative,negative,<USER> still waiting. Just hit one hour.
Southwest,negative,negative,<USER> Logically you would think you check all that before you have people board. I could've drove home in the time I've been waiting
Southwest,negative,negative,"<USER> appreciate y'all getting the gate issue figured GRR. Plenty open gates, yet we sit and wait on tarmac"
US Airways,positive,negative,<USER> Well I did miss it. But gate agents had rebooked boarding pass waiting when I landed. Time for lunch &amp; a beverage. Easy cheesy
US Airways,positive,positive,<USER> customer service at its best! Rachel S. took great care of us at the PHX airport. <URL>
US Airways,positive,positive,Great management of <USER> twitter account. Thank you.
US Airways,neutral,neutral,<USER> I need help about a ticket. DM me
US Airways,neutral,neutral,<USER> is there a phone number or email address to customer service?
US Airways,neutral,neutral,<USER> Is it possible to Cancelled Flight my reservation online?
US Airways,negative,negative,<USER> thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer
US Airways,negative,negative,<USER> thanks for making me miss my meeting in Dallas. 700 dollars down the toilet 😊
US Airways,negative,negative,"<USER> ur ""response"" was: my ""inconvenience was of no <URL> U wanted me sit for 3 xtra nights in the city w/out comp! #donotflyusair"
United,positive,positive,<USER> Thanks. It is on the same ticket.
United,positive,positive,<USER> thnx for the info
United,positive,negative,<USER> that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs
United,neutral,negative,<USER> that's right- with an overnight Miami.
United,neutral,negative,<USER> your announcement for pre boarding only addresses mobility. My disability requires me to travel with a lot of stuff. Do I preboard?
United,neutral,negative,<USER> the os isn't controlled by me but rather <USER> . App is new.
United,negative,negative,<USER> is the worst. Nonrefundable First class tickets? Oh because when you select Global/FC their system auto selects economy w/upgrade.
United,negative,negative,"<USER> if the car seat is lost <USER> should just reimburse me for a new one, this is not a pair of shoes, it's a necessity for my child"
United,negative,positive,<USER> <USER> that totally sucks my cousin worked at PHL said <USER>
Virgin America,positive,negative,"<USER> Well, I didn't…but NOW I DO! :-D"
Virgin America,positive,neutral,<USER> <USER> I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel <URL>
Virgin America,positive,neutral,<USER> you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
Virgin America,neutral,neutral,<USER> DREAM <URL> <URL>
Virgin America,neutral,positive,<USER> <USER> <USER> Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
Virgin America,neutral,positive,"<USER> <USER> <USER> all are great , but I have to go with #CarrieUnderwood 😍👌"
Virgin America,negative,negative,<USER> I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
Virgin America,negative,negative,<USER> why are your first fares in May over three times more than other carriers when all seats are available to select???
Virgin America,negative,neutral,<USER> amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
