feature_name,level,description,computation
cust_txns,Customer,Total number of distinct historical orders completed by the customer.,hist.groupby(user_col)[order_col].nunique()
cust_items,Customer,Total number of distinct products previously bought by the customer.,hist.groupby(user_col)[item_col].nunique()
cust_qty,Customer,Total quantity of product units purchased across customer history.,hist.groupby(user_col)['quantity'].sum()
cust_spend,Customer,Total historical monetary expenditure by the customer.,hist.groupby(user_col)[amount_col].sum()
cust_recency_days,Customer,Elapsed days between the customer's last purchase and the temporal cutoff.,(cutoff - max(ts)).dt.days
cust_avg_basket_spend,Customer,Average expenditure per order for the customer.,cust_spend / cust_txns
cust_avg_basket_size,Customer,Average item count per order for the customer.,cust_qty / cust_txns
item_txns,Item,Total number of distinct historical orders containing this item.,hist.groupby(item_col)[order_col].nunique()
item_buyers,Item,Number of distinct customers who historically purchased this item.,hist.groupby(item_col)[user_col].nunique()
item_qty,Item,Total units of this item sold historically.,hist.groupby(item_col)['quantity'].sum()
item_spend,Item,Total historical revenue generated by this item.,hist.groupby(item_col)[amount_col].sum()
item_avg_price,Item,Average realized unit price for this item.,"item_spend / max(item_qty, 1)"
item_recency_days,Item,Elapsed days between this item's last sale and the temporal cutoff.,(cutoff - max(ts)).dt.days
item_repeat_rate,Item,Fraction of buyers who purchased this item more than once.,P(buyer_orders > 1 | buyer)
pair_purchases,Customer-Item,Number of previous orders where this customer purchased this item.,"hist.groupby([user_col, item_col])[order_col].nunique()"
pair_qty,Customer-Item,Total units of this item previously bought by this customer.,"hist.groupby([user_col, item_col])['quantity'].sum()"
pair_spend,Customer-Item,Total spend by this customer on this specific item.,"hist.groupby([user_col, item_col])[amount_col].sum()"
pair_recency_days,Customer-Item,Elapsed days since customer last bought this item (or fallback 999.0).,(cutoff - max(pair_ts)).dt.days
pair_repeat_indicator,Customer-Item,Binary flag indicating if customer previously bought this item >= 2 times.,int(pair_purchases >= 2)
pair_spend_share,Customer-Item,Share of customer total spend dedicated to this item.,"pair_spend / max(cust_spend, 1.0)"
