body,label
Subject: want to accept credit cards ? 126432211  aredit cpproved  no cecks  do it now  126432211,spam
"Subject: wharton event - junel 0 - insead  bryan ,  i shall call you later today when i have a chance to read the message from  ben .  i wanted to ask you for a favor ( on a very short notice ) . we are talking to  the wharton school  about setting up a relationship with them and getting involved in one or  more research projects  with them .  one of the potential topics is emerging technologies . the wharton offers a  symposium in paris on june 10  on high tech acquisitions and it would make a lot of sense if you  ( or somebody from london you could identify ) could attend and help us to  evaluate the usefulness  of this project .  i am enclosing the message from the person in wharton running this program .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 06 / 05 / 2000  09 : 08 am - - - - - - - - - - - - - - - - - - - - - - - - - - -  tomczyk @ wharton . upenn . edu ( michael tomczyk ) on 05 / 18 / 2000 10 : 56 : 08 am  to : vkamins @ e",legitimate
"Subject: checking account update  dear reader :  we sometimes approach our analysts for their thoughts on emerging market sectors we ' re interested in . on certain occasions , they come to us with intriguing insights of certain aspects of the market that have caught their attention .  as you know our track record speaks for itself we are happy to bring you another situation with huge upside potential we think this could be the one that when we look back shortly everyone will be saying i should have more .  for more info click here ! ! !  remember : nothing ventured nothing gained",spam
"Subject: re : spinnaker exploration company , l . l . c . n . padre is . block 883 l
offshore kleberg county , texas contract 96047295 , meter 098 - 9862 ( 098 - 9848
platform )
george ,
the texas general land office transport volume is in pops for may nominated at 4 , 800 / d . deal # 535132 was initially set up as a wellhead purchase from texas general land office . the transport volume of 4 , 800 / d comprises approximately 22 % of the total volume nominated at the meter .
bob
enron north america corp . from : george weissman 05 / 02 / 2001 02 : 38 pm
to : robert cotten / hou / ect @ ect
cc : daren j farmer / hou / ect , brian m riley / hou / ect @ ect , melissa graves / hou / ect , mike morris / corp / enron @ enron , gerald lofton / hou / ect @ ect
subject : spinnaker exploration company , l . l . c .
n . padre is . block 883 l
offshore kleberg county , texas
contract 96047295 , meter 098 - 9862 ( 098 - 9848 platform )
bob , we currently have a total of 16 . 817 mmbtu",legitimate
"Subject: point change for deals
oh yeah , and that goes for deal 594596 crosstex , also .
- - - - - - - - - - - - - - - - - - - - - - forwarded by mark mccoy / corp / enron on 02 / 01 / 2001 03 : 47
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
mark mccoy
02 / 01 / 2001 04 : 47 pm
to : elsa villarreal / hou / ect @ ect , daren j farmer / hou / ect @ ect
cc :
subject : point change for deals
ooops ! this is effective the lst .
- - - - - - - - - - - - - - - - - - - - - - forwarded by mark mccoy / corp / enron on 02 / 01 / 2001 03 : 43
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
mark mccoy
02 / 01 / 2001 04 : 45 pm
to : elsa villarreal / hou / ect @ ect , daren j farmer / hou / ect @ ect
cc :
subject : point change for deals
fyi - - - i changed points on this deal from pgtt - teco waha 18002800 to pgtt - teco
katy 20606100 for the 2 nd . let me know if you don ' t agree with this . the
supply , duke field svs , was originally trying to deliver to",legitimate
"Subject: prop 0 sal  dear siobhan _ riskin  our company will place any business with a qualified website permanently at the top of the major search engines guaranteed never to move ( eg : yahoo ! , msn , alta vista , etc ) . if you are interested in being guaranteed first position in the top search engines at a promotional fee , please contact us at hannah @ speedy . com . pe please include the url ( s ) your are interested in promoting this is not pay per click examples will be provided .  sincerely  the search engine placement specialists  if you wish to be removed , please respond to hannah @ speedy . com . pe and type the word : remove in your subject line",spam
"Subject: gone tuesday  vince ,  a reminder that i ' m gone on tuesday to spearman .  status of projects :  1 . compound option for power structuring ( bernie , edith cross , nick ? )  alex has finished the model . paulo has done some validation so we can  probably release it .  this is will be used for an exotic book , so we may have to help with var  interface , etc .  2 . followed up with laine borgman on dg contract . we still need legal ' s  sign off .  3 . left a message and email about tom barkley with molly magee and told tom  that an offer would be coming by next week .",legitimate
"Subject: perfect logo charset = koi 8 - r "" >  thinking of breathing new life into your business ?  start from revamping its front - end - logo and visuai identity .  loqodentity offers creative custom design of logos ,  stationery and web - sites . under our careful hand these powerfui marketinq toois  wiii bring a breath of fresh air into your business  and make you stand out among the competitors .  you are just a ciick  away from your future success . click here to see the sampies of our artwork ,  check our prices and hot offers",spam
"Subject: now you can diversify the acts in your bedroom !  cialis drug information : an online resource on cialis , a new fda approved impotence drug  we all have strength enough to endure the misfortunes of others .  blessed are those who can give without remembering , and take without forgetting .  doubt is not a pleasant condition , but certainty is absurd .  this hath not offended the king .",spam
"Subject: re : [ no subject ]  hi vince ,  this resume looks quite good . we may wish to talk to him on the phone .  however , now that david hoog has hired his own actuarial guys ( alex  tartakowski and larry markus ) from ace , i am not sure if they require support  on the actuarial side . with don black ( of global risk markets ) leaving  enron , i think the effort to develop power products for the insurance markets  is pretty much nonexistent , except for david hoog ' s product . the resume  still looks interesting , though .  vasant  - - - - - original message - - - - -  from : kaminski , vince  sent : friday , april 13 , 2001 3 : 56 pm  to : shanbhogue , vasant  subject : [ no subject ]  vasant , please , take a look at this eresume .  vince  - - - - - - - - - - - - - - - - - - - - - - forwarded by vince j kaminski / hou / ect on 04 / 13 / 2001  09 : 55 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -  cathy lira @ enron  03 / 26 / 2001 11 : 12 pm  to : vkamins @ enron . c",legitimate
"Subject: re : another hesco issue
daren would you look at the price for 29 and 30 th of march 2000 . there are
no prices for these days but volume was scheduled for these days .
thanks
charlene
daren j farmer
11 / 02 / 2000 02 : 59 pm
to : charlene richmond / hou / ect @ ect
cc :
subject : re : another hesco issue
charlene ,
deal # 214948 already had volume and price for the 12 th and 13 th . you may
need to have the volumes updated by volume management .
i added the 15 th and 16 th to the deal ticket .
d
charlene richmond
11 / 01 / 2000 04 : 02 pm
to : daren j farmer / hou / ect @ ect , jennifer martinez / hou / ect @ ect
cc : kristen j hanson / hou / ect @ ect , nick moshou / corp / enron @ enron , cynthia
hakemack / hou / ect @ ect
subject : re : another hesco issue
help . steve mauch at hesco is wanting an answer asap
- - - - - - - - - - - - - - - - - - - - - - forwarded by charlene richmond / hou / ect on 11 / 01 / 2000
03 : 29 pm - - - - - - - - - - - - - -",legitimate
"Subject: tenaska iv transport 10 / 00
i took a look at the transport for txu lone star for tenaska iv for 10 / 00 .
we mostly have price differences , but one deal needs some days added . let me
know if you need copies of the invoices . the meters below are delivery
meters . i wasn ' t sure what the receipt meters would be .
deal 452491 , meter 20014903 need to add days 24 - 26 and 28 - 31
need to check rate - we show $ 0 . 01 and we were billed $ 0 . 02
deal 452491 , meter 25000200 need to check rate - we show $ 0 . 02 and we were
billed $ 0 . 10
deal 452475 , meter 25000200 need to check rate - we show prices from $ 0 . 005
to $ 0 . 02
and we were billed $ 0 . 11
thanks ,
megan",legitimate
"Subject: winning one of our chopard and feel the triumph on your wrist .  these beauties have thesame fea - tures and logos as their originals . you will  flnd all the best - selling points on our goods .  select either battery / quartz or the one with automatic movement .  http : / / 714 i . ymw . essenceandcore . com / i 5 h /  - - - - - original message - - - - -  from : alfonso @ afdt . com [ mailto : jefferson @ hk . com ]  sent : thursday , march 4 , 2005 4 : 07 pm  to : moshe ; shannon @ rsrg . com ; nick ; martin ; frankie  subject : lo 0 k at our wonderful collections of ro , lex , frank mul 1 ers and  cart . iers .  you can ' t flnd any reason to reject these beauties . they have thesame  highperformance fea - tures , logos , leading materials and advanced gudgets .  promising to be with them the whole of the following morning , therefore ,  professor of botany presented himself , one who could explain his  walking along any path , or leaning against any gate , was ready",spam
