tweet_id,text,airline_sentiment,airline,text_len,clean_text,clean_text_no_hashtag_emoji,challenge_types,has_challenge
567985715017072640,@united Y do U not reply to customer refund forms??????????? #unitedairlines,negative,United,76,<USER> Y do U not reply to customer refund forms??????????? #unitedairlines,<USER> Y do U not reply to customer refund forms???????????,"['negation', 'hashtag', 'elongation', 'slang']",True
568796551394549760,@USAirways I respect the stress of a merger but one rep to reschedule/replane 15 ppl who are already Late Flight? #youcandobetter,negative,US Airways,129,<USER> I respect the stress of a merger but one rep to reschedule/replane 15 ppl who are already Late Flight? #youcandobetter,<USER> I respect the stress of a merger but one rep to reschedule/replane 15 ppl who are already Late Flight?,"['hashtag', 'domain']",True
569527176350969856,"@SouthwestAir Thanks for the terrible service! Stranded in MDW for 2 days, &amp; now can't find confirmation for rebooked flight from MKE.",negative,Southwest,138,"<USER> Thanks for the terrible service! Stranded in MDW for 2 days, &amp; now can't find confirmation for rebooked flight from MKE.","<USER> Thanks for the terrible service! Stranded in MDW for 2 days, &amp; now can't find confirmation for rebooked flight from MKE.",['domain'],True
570057416718491649,@AmericanAir I really wanted to sign up for your airline credit card but your absurd $400 change fee to switch my flight made me think twice,negative,American,140,<USER> I really wanted to sign up for your airline credit card but your absurd $400 change fee to switch my flight made me think twice,<USER> I really wanted to sign up for your airline credit card but your absurd $400 change fee to switch my flight made me think twice,['domain'],True
568298659537915904,@united the best seats should be for paying customers and we should get to board first #badcustomerservice,negative,United,106,<USER> the best seats should be for paying customers and we should get to board first #badcustomerservice,<USER> the best seats should be for paying customers and we should get to board first,['hashtag'],True
570075916430397440,"@USAirways if it was so important, why did I wait on hold and then get hung up on by your computer?  #disappointed",negative,US Airways,114,"<USER> if it was so important, why did I wait on hold and then get hung up on by your computer? #disappointed","<USER> if it was so important, why did I wait on hold and then get hung up on by your computer?",['hashtag'],True
569655861297049600,@AmericanAir pleaseeee find my suitcase. I want deoderant and a clean shirt for work tomorrow :(,negative,American,96,<USER> pleaseeee find my suitcase. I want deoderant and a clean shirt for work tomorrow :(,<USER> pleaseeee find my suitcase. I want deoderant and a clean shirt for work tomorrow :(,['elongation'],True
569604507405037569,"@JetBlue flight from BOS - RSW tomorrow, all i need is my wife + 3yr old to sit together, but no option when checking in.",negative,Delta,121,"<USER> flight from BOS - RSW tomorrow, all i need is my wife + 3yr old to sit together, but no option when checking in.","<USER> flight from BOS - RSW tomorrow, all i need is my wife + 3yr old to sit together, but no option when checking in.","['negation', 'domain']",True
568153430776287233,@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard,negative,US Airways,101,<USER> <USER> team is back home but luggage all wet and partly damaged - Not happy! #blizzard,<USER> <USER> team is back home but luggage all wet and partly damaged - Not happy!,"['negation', 'hashtag', 'domain']",True
567840815331991552,@USAirways My Flight Booking Problems C68LD9 just times out when I select it under Manage My Flight Booking Problems for months now. I have emailed but no response. Help?,negative,US Airways,170,<USER> My Flight Booking Problems C68LD9 just times out when I select it under Manage My Flight Booking Problems for months now. I have emailed but no response. Help?,<USER> My Flight Booking Problems C68LD9 just times out when I select it under Manage My Flight Booking Problems for months now. I have emailed but no response. Help?,"['negation', 'domain']",True
569118675070005248,@USAirways told to work it out ourselves #joke #fail,negative,US Airways,52,<USER> told to work it out ourselves #joke #fail,<USER> told to work it out ourselves,['hashtag'],True
569649433635368961,@USAirways @AmericanAir Sitting at the gate on Flight 719 for an hour due to computers being down. What backup plan is in place for this??,negative,US Airways,138,<USER> <USER> Sitting at the gate on Flight 719 for an hour due to computers being down. What backup plan is in place for this??,<USER> <USER> Sitting at the gate on Flight 719 for an hour due to computers being down. What backup plan is in place for this??,['domain'],True
569641841454239744,@americanair never fails to disappoint. waiting at jfk an hour after scheduled take off and still no word on departure,negative,American,118,<USER> never fails to disappoint. waiting at jfk an hour after scheduled take off and still no word on departure,<USER> never fails to disappoint. waiting at jfk an hour after scheduled take off and still no word on departure,['negation'],True
569666477265018881,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,negative,Virgin America,126,<USER> i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,<USER> i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,['domain'],True
568584104641368064,@united WHAT?! Y'all have zero concept of customer service. Oh...and now my connection is delayed too!,negative,United,102,<USER> WHAT?! Y'all have zero concept of customer service. Oh...and now my connection is delayed too!,<USER> WHAT?! Y'all have zero concept of customer service. Oh...and now my connection is delayed too!,"['elongation', 'domain']",True
569183494259273728,@SouthwestAir trying to rebook flight. On hold for 23 mins before disconnected and now almost 40 mins? Unbelievable. http://t.co/0BJNz4EIX5,negative,Southwest,139,<USER> trying to rebook flight. On hold for 23 mins before disconnected and now almost 40 mins? Unbelievable. <URL>,<USER> trying to rebook flight. On hold for 23 mins before disconnected and now almost 40 mins? Unbelievable. <URL>,['domain'],True
569555413450027011,@USAirways are the bags off Flight 1898 CLT to JFK? We landed last night just before midnight.,negative,US Airways,94,<USER> are the bags off Flight 1898 CLT to JFK? We landed last night just before midnight.,<USER> are the bags off Flight 1898 CLT to JFK? We landed last night just before midnight.,['domain'],True
569691079471050752,"@AmericanAir just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service",negative,American,148,"<USER> just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service","<USER> just Cancelled Flightled my 7 am flight tomorrow with out informing me at all today, then booked one in 2 days, and no customer service","['negation', 'domain']",True
568940291530493952,@JetBlue thanks for making me miss an important dinner tonight. 2 hr delay and now 20 min on Tarmac... #worst,negative,Delta,109,<USER> thanks for making me miss an important dinner tonight. 2 hr delay and now 20 min on Tarmac... #worst,<USER> thanks for making me miss an important dinner tonight. 2 hr delay and now 20 min on Tarmac...,"['hashtag', 'elongation', 'domain']",True
570239546673238017,"@USAirways Been on hold for 40 minutes, calling because my flight is delayed.  This type of service in not acceptable.",negative,US Airways,118,"<USER> Been on hold for 40 minutes, calling because my flight is delayed. This type of service in not acceptable.","<USER> Been on hold for 40 minutes, calling because my flight is delayed. This type of service in not acceptable.","['negation', 'domain']",True
569651085348110336,@USAirways it's flt 4827 to ELM - still no gate and still have to make it thru customs,negative,US Airways,86,<USER> it's flt 4827 to ELM - still no gate and still have to make it thru customs,<USER> it's flt 4827 to ELM - still no gate and still have to make it thru customs,"['negation', 'domain']",True
569739521291452416,"@JetBlue Woo! Update! Flight 915 is now possibly delayed by more than 2hrs!  Power of positive thinking, people.",negative,Delta,112,"<USER> Woo! Update! Flight 915 is now possibly delayed by more than 2hrs! Power of positive thinking, people.","<USER> Woo! Update! Flight 915 is now possibly delayed by more than 2hrs! Power of positive thinking, people.",['domain'],True
569211244693098496,"@united we are delayed in San Pedro, Belize. We are scheduled to fly out at 3pm from Belize City to Houston. Will you wait please?",negative,United,130,"<USER> we are delayed in San Pedro, Belize. We are scheduled to fly out at 3pm from Belize City to Houston. Will you wait please?","<USER> we are delayed in San Pedro, Belize. We are scheduled to fly out at 3pm from Belize City to Houston. Will you wait please?",['domain'],True
