tweet_id,text,airline_sentiment,airline,prediction,suggested_types,manual_challenge_type,likely_reason,mitigation
568427853265571840,"@JetBlue no, but we're on the flight leaving from Boston to Seattle right now. :) flight 597",positive,Delta,negative,"['negation', 'product-handle tokens', 'quoted/retweeted', 'domain-specific terms']",,,
570307949614256128,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.,negative,American,positive,"['product-handle tokens', 'quoted/retweeted']",mixed sentiment,Tweet contains both gratitude and complaint; model chose negative.,"Use attention to weigh conflicting cues, or aggregate at thread level."
568158670489387008,@united can I just go ahead and live in your premium cabins? I'm in heaven now en route to LHR,positive,United,neutral,"['product-handle tokens', 'quoted/retweeted']",,,
570268326250745856,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,negative,American,neutral,"['product-handle tokens', 'quoted/retweeted', 'domain-specific terms']",,,
569273298325864448,@united - any way to get a message to an international flight gate at EWR?      Road conditions are horrible trying to get to flight ...,neutral,United,negative,"['product-handle tokens', 'spelling/elongation', 'quoted/retweeted', 'domain-specific terms']",,,
570263872004874240,@united the os isn't controlled by me but rather @VerizonWireless .  App is new.,neutral,United,negative,"['product-handle tokens', 'quoted/retweeted']",,,
568491160056045568,"@SouthwestAir Don't worry, you will! :-)",neutral,Southwest,negative,"['product-handle tokens', 'quoted/retweeted']",,,
568967744076410880,@united Will the airline refuse my Canadian passport with less than 6 months remaining validity? Going to US.,neutral,United,negative,"['product-handle tokens', 'quoted/retweeted']",,,
568163907325599745,@USAirways Looking forward to some friends and family time in Arizona.,neutral,US Airways,positive,"['product-handle tokens', 'quoted/retweeted']",,,
569083218554519552,"@USAirways Umm, can you define 'extra time'?",negative,US Airways,neutral,"['product-handle tokens', 'quoted/retweeted']",,,
569558589628502016,@united so what's the solution?,negative,United,neutral,"['product-handle tokens', 'quoted/retweeted']",,,
569980137346707456,@SouthwestAir Why do you have to be 18 😭,neutral,Southwest,negative,"['emoji-heavy', 'product-handle tokens', 'quoted/retweeted', 'code-mixing']",,,
568039648964026368,@USAirways tell reservations to rebook me from 5080 to 5129,neutral,US Airways,negative,"['product-handle tokens', 'quoted/retweeted']",,,
570084707548958720,@USAirways The help/complaint forms on the website can be used only if the matter applies to an actual ticketed flight,neutral,US Airways,negative,"['product-handle tokens', 'quoted/retweeted', 'domain-specific terms']",,,
570241050079420417,"@AmericanAir Not here yet, but I plan on it. If you could have them fly low and slow right in front of me, that would be great. ;-)",neutral,American,negative,"['negation', 'product-handle tokens', 'quoted/retweeted']",negation,Negation reverses polarity; model missed the negated sentiment.,"Introduce negated n-grams (e.g., ""not good"") or use contextual models."
570075101326024704,"@AmericanAir to add insult to injury, I have to go pick it up myself. Real class act! I'll stick the Delta from now on.",negative,American,neutral,"['product-handle tokens', 'quoted/retweeted']",,,
569139480101314560,@united have you inspected the picture? routine aircraft check while on his cell phone? What will the FAA &amp; NYT say ? http://t.co/bNgpli8JT6,negative,United,neutral,"['product-handle tokens', 'quoted/retweeted']",,,
569658058546286592,@JetBlue Ricoh Smith at BOS provided oust and service,neutral,Delta,positive,"['product-handle tokens', 'quoted/retweeted']",,,
568116768868159488,@USAirways would you consider honoring the original fare price if I were to try Flight Booking Problems the ticket again?,negative,US Airways,neutral,"['product-handle tokens', 'quoted/retweeted', 'domain-specific terms']",,,
569101653573570560,@united is #ELP Friendly. #flyerfriendly #united #emb145 #elpaso http://t.co/9mEOzBO4xl,positive,United,neutral,"['hashtag sentiment', 'product-handle tokens', 'quoted/retweeted']",hashtag sentiment,Hashtag like #fail or #loveit carries strong sentiment ignored by TF‑IDF.,Preserve hashtags (we already do) but consider splitting them into tokens.
